iter	Passed	Remaining
0	458	137192
1	758	113049
2	1043	103295
3	1407	104158
4	1751	103329
5	2091	102467
6	2503	104773
7	2773	101226
8	3059	98920
9	3410	98906
10	3678	96649
11	3951	94825
12	4209	92934
13	4522	92392
14	4809	91371
15	5119	90877
16	5442	90607
17	5695	89228
18	5955	88079
19	6282	87956
20	6555	87100
21	6903	87234
22	7201	86731
23	7549	86814
24	7865	86523
25	8167	86077
26	8434	85283
27	8789	85381
28	9059	84656
29	9392	84536
30	9727	84409
31	10058	84239
32	10370	83905
33	10698	83703
34	10986	83184
35	11265	82616
36	11557	82154
37	11883	81932
38	12212	81732
39	12524	81412
40	12872	81313
41	13153	80801
42	13504	80712
43	13804	80314
44	14108	79946
45	14433	79700
46	14701	79135
47	14976	78628
48	15255	78143
49	15583	77916
50	15900	77633
51	16215	77336
52	16559	77172
53	16877	76887
54	17216	76692
55	17522	76345
56	17793	75856
57	18059	75353
58	18349	74953
59	18695	74781
60	18998	74437
61	19365	74339
62	19693	74086
63	20026	73846
64	20320	73467
65	20613	73085
66	20951	72860
67	21273	72581
68	21590	72280
69	21929	72055
70	22192	71580
71	22496	71238
72	22766	70795
73	23113	70590
74	23392	70177
75	23698	69847
76	24065	69695
77	24378	69384
78	24650	68957
79	24895	68463
80	25237	68234
81	25581	68010
82	25899	67713
83	26212	67403
84	26546	67146
85	26830	66765
86	27108	66368
87	27425	66070
88	27742	65770
89	28023	65389
90	28362	65139
91	28698	64884
92	28958	64456
93	29199	63990
94	29488	63632
95	29772	63265
96	30137	63070
97	30399	62660
98	30671	62272
99	30980	61960
100	31264	61600
101	31558	61261
102	31869	60955
103	32178	60644
104	32495	60349
105	32812	60053
106	33082	59672
107	33346	59282
108	33637	58942
109	33892	58541
110	34193	58220
111	34471	57863
112	34855	57681
113	35150	57351
114	35424	56986
115	35732	56678
116	35997	56304
117	36272	55945
118	36574	55630
119	36826	55239
120	37105	54892
121	37371	54525
122	37722	54283
123	37958	53876
124	38247	53546
125	38532	53211
126	38865	52942
127	39169	52634
128	39415	52248
129	39698	51913
130	39967	51560
131	40228	51199
132	40491	50842
133	40757	50490
134	41085	50216
135	41354	49868
136	41712	49628
137	41990	49292
138	42306	49002
139	42615	48703
140	42912	48390
141	43199	48066
142	43491	47749
143	43813	47464
144	44122	47165
145	44439	46874
146	44734	46560
147	45033	46250
148	45328	45936
149	45639	45639
150	45985	45376
151	46236	45020
152	46513	44689
153	46775	44345
154	47009	43976
155	47378	43734
156	47650	43401
157	47918	43066
158	48167	42714
159	48430	42376
160	48733	42074
161	49017	41755
162	49405	41525
163	49708	41221
164	50034	40937
165	50292	40597
166	50563	40269
167	50841	39947
168	51115	39622
169	51451	39345
170	51816	39089
171	52113	38782
172	52396	38464
173	52710	38169
174	52995	37853
175	53248	37516
176	53540	37206
177	53841	36902
178	54147	36602
179	54413	36275
180	54762	36003
181	55158	35762
182	55525	35499
183	56010	35311
184	56503	35123
185	56859	34849
186	57243	34591
187	57682	34363
188	58006	34067
189	58412	33817
190	58673	33483
191	58961	33165
192	59246	32846
193	59547	32536
194	59797	32198
195	60051	31863
196	60456	31609
197	60763	31302
198	61086	31003
199	61339	30669
200	61638	30359
201	62211	30181
202	62522	29875
203	62818	29561
204	63177	29277
205	63562	29004
206	63856	28689
207	64124	28362
208	64393	28037
209	64705	27730
210	64975	27406
211	65338	27121
212	65611	26799
213	65934	26496
214	66224	26181
215	66570	25888
216	66837	25564
217	67166	25264
218	67433	24941
219	67819	24661
220	68085	24338
221	68353	24016
222	68616	23692
223	68916	23382
224	69176	23058
225	69459	22743
226	69799	22446
227	70080	22130
228	70395	21825
229	70711	21520
230	71099	21237
231	71400	20927
232	71713	20621
233	72087	20332
234	72371	20017
235	72790	19739
236	73085	19427
237	73368	19112
238	73636	18794
239	73899	18474
240	74219	18169
241	74476	17849
242	74782	17541
243	75196	17258
244	75444	16936
245	75703	16617
246	75971	16301
247	76295	15997
248	76549	15678
249	76800	15360
250	77103	15052
251	77410	14744
252	77745	14442
253	78014	14128
254	78257	13810
255	78498	13491
256	78826	13188
257	79176	12889
258	79535	12590
259	79794	12276
260	80113	11970
261	80391	11659
262	80652	11346
263	80962	11040
264	81241	10730
265	81485	10415
266	81775	10107
267	82059	9798
268	82324	9487
269	82597	9177
270	82876	8868
271	83229	8567
272	83621	8270
273	83933	7964
274	84249	7659
275	84543	7351
276	84826	7043
277	85076	6732
278	85347	6424
279	85660	6118
280	85938	5810
281	86188	5501
282	86466	5194
283	86756	4887
284	87090	4583
285	87328	4274
286	87658	3970
287	87897	3662
288	88193	3356
289	88507	3051
290	88839	2747
291	89144	2442
292	89448	2136
293	89737	1831
294	90006	1525
295	90354	1221
296	90719	916
297	91076	611
298	91340	305
299	91649	0
