accuracy,recall,precision,f1_score,confusion_matrix,true_negatives,false_positives,false_negatives,true_positives,threshold,fitness
0.3562,0.96996996996997,0.1680104031209363,0.2864109953447129,"[[1135, 3199], [20, 646]]",1135,3199,20,646,0.15,0.6005283721662266
0.2078,0.993993993993994,0.14332106516562026,0.25052034058656575,"[[377, 3957], [4, 662]]",377,3957,4,662,0.1,0.5987109224185568
0.1614,0.996996996996997,0.1367662203913491,0.240536134758196,"[[143, 4191], [2, 664]]",143,4191,2,664,0.08,0.5962126175528518
0.2642,0.9804804804804805,0.15119240564945588,0.2619859578736209,"[[668, 3666], [13, 653]]",668,3666,13,653,0.12,0.5960785900849772
0.1344,1.0,0.13336003203844612,0.2353356890459364,"[[6, 4328], [0, 666]]",6,4328,0,666,0.05,0.5957034943699224
0.4724,0.9039039039039038,0.18954659949622166,0.3133784487246226,"[[1760, 2574], [64, 602]]",1760,2574,64,602,0.2,0.5757842641503872
0.5646,0.8243243243243243,0.2104254503641242,0.33526717557251906,"[[2274, 2060], [117, 549]]",2274,2060,117,549,0.25,0.5417644348651726
0.6392,0.7477477477477478,0.23336457357075913,0.3557142857142857,"[[2698, 1636], [168, 498]]",2698,1636,168,498,0.3,0.5090977186183372
0.7022,0.6666666666666666,0.25949736995908823,0.37358014303744214,"[[3067, 1267], [222, 444]]",3067,1267,222,444,0.35,0.4733694537256802
0.7542,0.581081081081081,0.2894540014958863,0.38642036944583125,"[[3384, 950], [279, 387]]",3384,950,279,387,0.4,0.4337871240502241
0.784,0.4774774774774775,0.3028571428571429,0.3706293706293706,"[[3602, 732], [348, 318]]",3602,732,348,318,0.45,0.37261860661860663
0.8102,0.3783783783783784,0.3202033036848793,0.34686854783207155,"[[3799, 535], [414, 252]]",3799,535,414,252,0.5,0.31153243021782107
